"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","participant","uid","list","timestamp","condition","block","item_no","correct","responses"
"76882.5599999982","By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at <a href=""mailto:stanfordpsych251@gmail.com""> stanfordpsych251@gmail.com</a>. You must be at least 18 years old to participate, and you must be a native English speaker and have normal or corrected-to-normal vision. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. We have recently been made aware that your public Amazon.com profile can be accessed via your worker ID if you do not choose to opt out. If you would like to opt out of this feature, you may follow instructions available <a href=""http://www.amazon.com/gp/help/customer/display.html?nodeId=16465241"">here</a>. <br /><br />[Press spacebar to continue.]","32","html-keyboard-response","0","76907","0.0-0.0","","61zlv477cx","1","1605121138121","","","","",""
"15862.730000000738","Each screen will show a sequence of five English words, which either form a grammatical English sentence (e.g. ""The cow eats the grass"") or an ungrammatical sequence (e.g. ""Planet orange a the mention""). Decide as rapidly and as accurately as possible if the sequence of words forms a grammatically correct sentence or not. Press the 'J' key with your right index finger if the sequence is grammatical, and press the 'F' key with your left index finger if the sequence is ungrammatical. A colored dot will then appear, indicating whether your response was correct (green) or incorrect (red).<br /><br />There will be two practice sequences, followed by four blocks of test sequences. Please sit about 60cm away from your screen, and display the task in full screen. This HIT takes around 10 minutes to complete; please complete it in one sitting. <br /><br />[Press spacebar to begin the practice.]","32","html-keyboard-response","1","92771","0.0-1.0","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","2","93347","0.0-2.0-0.0","","61zlv477cx","1","1605121138121","","","","",""
"2052.445000001171","<p class='stimulus'>It moved over there slowly</p>","74","html-keyboard-response","3","95401","0.0-2.0-1.0","","61zlv477cx","1","1605121138121","gram","0","2","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","4","97403","0.0-2.0-2.0","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","5","97978","0.0-2.0-0.1","","61zlv477cx","1","1605121138121","","","","",""
"2355.1300000035553","<p class='stimulus'>The white was cat big</p>","74","html-keyboard-response","6","100334","0.0-2.0-1.1","","61zlv477cx","1","1605121138121","transword","0","1","false",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""red"" /></svg>","null","html-keyboard-response","7","102337","0.0-2.0-2.1","","61zlv477cx","1","1605121138121","","","","",""
"2060.1199999946402","You have completed the practice. You will now begin the experiment proper, which is composed of four blocks of sequences.<br /><br />[Press spacebar to begin the experiment.]","32","html-keyboard-response","8","104397","0.0-3.0","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","9","104937","0.0-4.0-0.0","","61zlv477cx","1","1605121138121","","","","",""
"1845.209999999497","<p class='stimulus'>The blue whales are migrating</p>","74","html-keyboard-response","10","106783","0.0-4.0-1.0","","61zlv477cx","1","1605121138121","gram","1","126","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","11","108784","0.0-4.0-2.0","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","12","109325","0.0-4.0-0.1","","61zlv477cx","1","1605121138121","","","","",""
"2149.6449999976903","<p class='stimulus'>That brown runs horse cried</p>","70","html-keyboard-response","13","111475","0.0-4.0-1.1","","61zlv477cx","1","1605121138121","control","1","46","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","14","113478","0.0-4.0-2.1","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","15","114017","0.0-4.0-0.2","","61zlv477cx","1","1605121138121","","","","",""
"1640.8950000040932","<p class='stimulus'>Your old never uncles there</p>","70","html-keyboard-response","16","115659","0.0-4.0-1.2","","61zlv477cx","1","1605121138121","control","1","43","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","17","117661","0.0-4.0-2.2","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","18","118201","0.0-4.0-0.3","","61zlv477cx","1","1605121138121","","","","",""
"2521.500000002561","<p class='stimulus'>His nice friend best laughs</p>","74","html-keyboard-response","19","120724","0.0-4.0-1.3","","61zlv477cx","1","1605121138121","transword","1","7","false",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""red"" /></svg>","null","html-keyboard-response","20","122726","0.0-4.0-2.3","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","21","123266","0.0-4.0-0.4","","61zlv477cx","1","1605121138121","","","","",""
"1992.4299999984214","<p class='stimulus'>The brown bugs were eaten</p>","74","html-keyboard-response","22","125259","0.0-4.0-1.4","","61zlv477cx","1","1605121138121","gram","1","106","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","23","127260","0.0-4.0-2.4","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","24","127800","0.0-4.0-0.5","","61zlv477cx","1","1605121138121","","","","",""
"1596.8300000022282","<p class='stimulus'>The flowers grow in spring</p>","74","html-keyboard-response","25","129398","0.0-4.0-1.5","","61zlv477cx","1","1605121138121","gram","1","104","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","26","131401","0.0-4.0-2.5","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","27","131940","0.0-4.0-0.6","","61zlv477cx","1","1605121138121","","","","",""
"1975.140000002284","<p class='stimulus'>There is a public holiday</p>","74","html-keyboard-response","28","133916","0.0-4.0-1.6","","61zlv477cx","1","1605121138121","gram","1","123","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","29","135918","0.0-4.0-2.6","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","30","136457","0.0-4.0-0.7","","61zlv477cx","1","1605121138121","","","","",""
"2220.4400000046007","<p class='stimulus'>We wish to see you</p>","74","html-keyboard-response","31","138679","0.0-4.0-1.7","","61zlv477cx","1","1605121138121","gram","1","84","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","32","140682","0.0-4.0-2.7","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","33","141221","0.0-4.0-0.8","","61zlv477cx","1","1605121138121","","","","",""
"2270.4050000029383","<p class='stimulus'>His short felt girlfriend dinner</p>","70","html-keyboard-response","34","143492","0.0-4.0-1.8","","61zlv477cx","1","1605121138121","control","1","63","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","35","145494","0.0-4.0-2.8","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","36","146033","0.0-4.0-0.9","","61zlv477cx","1","1605121138121","","","","",""
"2101.3499999971827","<p class='stimulus'>Her handsome is neighbor moving</p>","70","html-keyboard-response","37","148136","0.0-4.0-1.9","","61zlv477cx","1","1605121138121","transword","1","4","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","38","150138","0.0-4.0-2.9","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","39","150677","0.0-4.0-0.10","","61zlv477cx","1","1605121138121","","","","",""
"1905.2749999973457","<p class='stimulus'>She threw out the flour</p>","74","html-keyboard-response","40","152584","0.0-4.0-1.10","","61zlv477cx","1","1605121138121","gram","1","83","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","41","154585","0.0-4.0-2.10","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","42","155126","0.0-4.0-0.11","","61zlv477cx","1","1605121138121","","","","",""
"2150.0300000043353","<p class='stimulus'>There should be no problem</p>","74","html-keyboard-response","43","157278","0.0-4.0-1.11","","61zlv477cx","1","1605121138121","gram","1","103","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","44","159280","0.0-4.0-2.11","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","45","159819","0.0-4.0-0.12","","61zlv477cx","1","1605121138121","","","","",""
"3020.6450000041514","<p class='stimulus'>These pretty stones oval roll</p>","70","html-keyboard-response","46","162841","0.0-4.0-1.12","","61zlv477cx","1","1605121138121","transword","1","23","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","47","164843","0.0-4.0-2.12","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","48","165381","0.0-4.0-0.13","","61zlv477cx","1","1605121138121","","","","",""
"2600.9800000028918","<p class='stimulus'>I finished a making rockular</p>","70","html-keyboard-response","49","167984","0.0-4.0-1.13","","61zlv477cx","1","1605121138121","control","1","65","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","50","169986","0.0-4.0-2.13","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","51","170526","0.0-4.0-0.14","","61zlv477cx","1","1605121138121","","","","",""
"2450.4850000012084","<p class='stimulus'>Her clever sister little passed</p>","70","html-keyboard-response","52","172977","0.0-4.0-1.14","","61zlv477cx","1","1605121138121","transword","1","5","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","53","174980","0.0-4.0-2.14","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","54","175519","0.0-4.0-0.15","","61zlv477cx","1","1605121138121","","","","",""
"1904.0099999983795","<p class='stimulus'>The thin falls rod gently</p>","70","html-keyboard-response","55","177424","0.0-4.0-1.15","","61zlv477cx","1","1605121138121","transword","1","24","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","56","179426","0.0-4.0-2.15","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","57","179965","0.0-4.0-0.16","","61zlv477cx","1","1605121138121","","","","",""
"1776.0049999997136","<p class='stimulus'>His lawn chair can fold</p>","74","html-keyboard-response","58","181742","0.0-4.0-1.16","","61zlv477cx","1","1605121138121","gram","1","125","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","59","183743","0.0-4.0-2.16","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","60","184282","0.0-4.0-0.17","","61zlv477cx","1","1605121138121","","","","",""
"1527.8850000031525","<p class='stimulus'>The cough syrup was helpful</p>","74","html-keyboard-response","61","185812","0.0-4.0-1.17","","61zlv477cx","1","1605121138121","gram","1","86","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","62","187814","0.0-4.0-2.17","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","63","188354","0.0-4.0-0.18","","61zlv477cx","1","1605121138121","","","","",""
"1730.2999999956228","<p class='stimulus'>The young bounces girl eagerly</p>","70","html-keyboard-response","64","190085","0.0-4.0-1.18","","61zlv477cx","1","1605121138121","transword","1","6","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","65","192087","0.0-4.0-2.18","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","66","192628","0.0-4.0-0.19","","61zlv477cx","1","1605121138121","","","","",""
"1419.4050000005518","<p class='stimulus'>You should leave really now</p>","74","html-keyboard-response","67","194048","0.0-4.0-1.19","","61zlv477cx","1","1605121138121","transword","1","3","false",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""red"" /></svg>","null","html-keyboard-response","68","196049","0.0-4.0-2.19","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","69","196590","0.0-4.0-0.20","","61zlv477cx","1","1605121138121","","","","",""
"1786.5999999994528","<p class='stimulus'>They have four children altogether</p>","74","html-keyboard-response","70","198377","0.0-4.0-1.20","","61zlv477cx","1","1605121138121","gram","1","144","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","71","200379","0.0-4.0-2.20","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","72","200919","0.0-4.0-0.21","","61zlv477cx","1","1605121138121","","","","",""
"2307.2050000046147","<p class='stimulus'>Our father many loves sick</p>","70","html-keyboard-response","73","203227","0.0-4.0-1.21","","61zlv477cx","1","1605121138121","control","1","47","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","74","205228","0.0-4.0-2.21","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","75","205767","0.0-4.0-0.22","","61zlv477cx","1","1605121138121","","","","",""
"2083.454999999958","<p class='stimulus'>My wooden is cabin forget</p>","70","html-keyboard-response","76","207852","0.0-4.0-1.22","","61zlv477cx","1","1605121138121","control","1","44","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","77","209853","0.0-4.0-2.22","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","78","210392","0.0-4.0-0.23","","61zlv477cx","1","1605121138121","","","","",""
"2649.150000004738","<p class='stimulus'>The scared really children fast</p>","70","html-keyboard-response","79","213042","0.0-4.0-1.23","","61zlv477cx","1","1605121138121","control","1","45","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","80","215044","0.0-4.0-2.23","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","81","215594","0.0-4.0-0.24","","61zlv477cx","1","1605121138121","","","","",""
"1922.1099999995204","<p class='stimulus'>The belt is too long</p>","70","html-keyboard-response","82","217517","0.0-4.0-1.24","","61zlv477cx","1","1605121138121","gram","1","147","false",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""red"" /></svg>","null","html-keyboard-response","83","219518","0.0-4.0-2.24","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","84","220058","0.0-4.0-0.25","","61zlv477cx","1","1605121138121","","","","",""
"3160.745000001043","<p class='stimulus'>Their door bell is ringing</p>","74","html-keyboard-response","85","223220","0.0-4.0-1.25","","61zlv477cx","1","1605121138121","gram","1","107","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","86","225222","0.0-4.0-2.25","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","87","225761","0.0-4.0-0.26","","61zlv477cx","1","1605121138121","","","","",""
"2237.4199999976554","<p class='stimulus'>They wanted to sleep more</p>","74","html-keyboard-response","88","227999","0.0-4.0-1.26","","61zlv477cx","1","1605121138121","gram","1","105","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","89","230001","0.0-4.0-2.26","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","90","230540","0.0-4.0-0.27","","61zlv477cx","1","1605121138121","","","","",""
"4661.130000000412","<p class='stimulus'>We will for come cold</p>","70","html-keyboard-response","91","235203","0.0-4.0-1.27","","61zlv477cx","1","1605121138121","control","1","64","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","92","237205","0.0-4.0-2.27","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","93","237745","0.0-4.0-0.28","","61zlv477cx","1","1605121138121","","","","",""
"10997.409999996307","<p class='stimulus'>Her desk has rounded corners</p>","70","html-keyboard-response","94","248744","0.0-4.0-1.28","","61zlv477cx","1","1605121138121","gram","1","124","false",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""red"" /></svg>","null","html-keyboard-response","95","250746","0.0-4.0-2.28","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","96","251285","0.0-4.0-0.29","","61zlv477cx","1","1605121138121","","","","",""
"6275.795000001381","<p class='stimulus'>This beautiful panel solar works</p>","74","html-keyboard-response","97","257562","0.0-4.0-1.29","","61zlv477cx","1","1605121138121","transword","1","25","false",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""red"" /></svg>","null","html-keyboard-response","98","259563","0.0-4.0-2.29","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","99","260102","0.0-4.0-0.30","","61zlv477cx","1","1605121138121","","","","",""
"3021.0599999991246","<p class='stimulus'>The sweet bread is good</p>","74","html-keyboard-response","100","263124","0.0-4.0-1.30","","61zlv477cx","1","1605121138121","gram","1","85","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","101","265124","0.0-4.0-2.30","","61zlv477cx","1","1605121138121","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","102","265664","0.0-4.0-0.31","","61zlv477cx","1","1605121138121","","","","",""
