"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","participant","uid","list","timestamp","condition","block","item_no","correct","responses"
"27184.355000033975","By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at <a href=""mailto:stanfordpsych251@gmail.com""> stanfordpsych251@gmail.com</a>. You must be at least 18 years old to participate, and you must be a native English speaker and have normal or corrected-to-normal vision. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. We have recently been made aware that your public Amazon.com profile can be accessed via your worker ID if you do not choose to opt out. If you would like to opt out of this feature, you may follow instructions available <a href=""http://www.amazon.com/gp/help/customer/display.html?nodeId=16465241"">here</a>. <br /><br />[Press spacebar to continue.]","32","html-keyboard-response","0","27214","0.0-0.0","","72otalj0jc","1","1605120597210","","","","",""
"78858.99499990046","Each screen will show a sequence of five English words, which either form a grammatical English sentence (e.g. ""The cow eats the grass"") or an ungrammatical sequence (e.g. ""Planet orange a the mention""). Decide as rapidly and as accurately as possible if the sequence of words forms a grammatically correct sentence or not. Press the 'J' key with your right index finger if the sequence is grammatical, and press the 'F' key with your left index finger if the sequence is ungrammatical. A colored dot will then appear, indicating whether your response was correct (green) or incorrect (red).<br /><br />There will be two practice sequences, followed by four blocks of test sequences. Please sit about 60cm away from your screen, and display the task in full screen. This HIT takes around 10 minutes to complete; please complete it in one sitting. <br /><br />[Press spacebar to begin the practice.]","32","html-keyboard-response","1","106073","0.0-1.0","","72otalj0jc","1","1605120597210","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","2","106623","0.0-2.0-0.0","","72otalj0jc","1","1605120597210","","","","",""
"1818.7150000594556","<p class='stimulus'>It moved over there slowly</p>","74","html-keyboard-response","3","108444","0.0-2.0-1.0","","72otalj0jc","1","1605120597210","gram","0","2","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","4","110458","0.0-2.0-2.0","","72otalj0jc","1","1605120597210","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","5","111007","0.0-2.0-0.1","","72otalj0jc","1","1605120597210","","","","",""
"1458.3499999716878","<p class='stimulus'>The white was cat big</p>","70","html-keyboard-response","6","112466","0.0-2.0-1.1","","72otalj0jc","1","1605120597210","transword","0","1","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","7","114468","0.0-2.0-2.1","","72otalj0jc","1","1605120597210","","","","",""
"2819.304999895394","You have completed the practice. You will now begin the experiment proper, which is composed of four blocks of sequences.<br /><br />[Press spacebar to begin the experiment.]","32","html-keyboard-response","8","117289","0.0-3.0","","72otalj0jc","1","1605120597210","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","9","117932","0.0-4.0-0.0","","72otalj0jc","1","1605120597210","","","","",""
"1210.5250000022352","<p class='stimulus'>The belt is too long</p>","74","html-keyboard-response","10","119144","0.0-4.0-1.0","","72otalj0jc","1","1605120597210","gram","1","147","true",""
