"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","participant","uid","list","timestamp","condition","block","item_no","correct","responses"
"6813.629999989644","By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at <a href=""mailto:stanfordpsych251@gmail.com""> stanfordpsych251@gmail.com</a>. You must be at least 18 years old to participate, and you must be a native English speaker and have normal or corrected-to-normal vision. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. We have recently been made aware that your public Amazon.com profile can be accessed via your worker ID if you do not choose to opt out. If you would like to opt out of this feature, you may follow instructions available <a href=""http://www.amazon.com/gp/help/customer/display.html?nodeId=16465241"">here</a>. <br /><br />[Press spacebar to continue.]","32","html-keyboard-response","0","6817","0.0-0.0","","c3p5xzg230","2","1605123682664","","","","",""
"28646.16499999829","Each screen will show a sequence of five English words, which either form a grammatical English sentence (e.g. ""The cow eats the grass"") or an ungrammatical sequence (e.g. ""Planet orange a the mention""). Decide as rapidly and as accurately as possible if the sequence of words forms a grammatically correct sentence or not. Press the 'J' key with your right index finger if the sequence is grammatical, and press the 'F' key with your left index finger if the sequence is ungrammatical. A colored dot will then appear, indicating whether your response was correct (green) or incorrect (red).<br /><br />There will be two practice sequences, followed by four blocks of test sequences. Please sit about 60cm away from your screen, and display the task in full screen. This HIT takes around 10 minutes to complete; please complete it in one sitting. <br /><br />[Press spacebar to begin the practice.]","32","html-keyboard-response","1","35464","0.0-1.0","","c3p5xzg230","2","1605123682664","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","2","36022","0.0-2.0-0.0","","c3p5xzg230","2","1605123682664","","","","",""
"1304.019999995944","<p class='stimulus'>The white was cat big</p>","70","html-keyboard-response","3","37327","0.0-2.0-1.0","","c3p5xzg230","2","1605123682664","transword","0","163","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","4","39330","0.0-2.0-2.0","","c3p5xzg230","2","1605123682664","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","5","39899","0.0-2.0-0.1","","c3p5xzg230","2","1605123682664","","","","",""
"1547.2399999998743","<p class='stimulus'>It moved over there slowly</p>","74","html-keyboard-response","6","41447","0.0-2.0-1.1","","c3p5xzg230","2","1605123682664","gram","0","164","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","7","43449","0.0-2.0-2.1","","c3p5xzg230","2","1605123682664","","","","",""
"2462.0450000074925","You have completed the practice. You will now begin the experiment proper, which is composed of four blocks of sequences.<br /><br />[Press spacebar to begin the experiment.]","32","html-keyboard-response","8","45912","0.0-3.0","","c3p5xzg230","2","1605123682664","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","9","46563","0.0-4.0-0.0","","c3p5xzg230","2","1605123682664","","","","",""
"1316.0899999929825","<p class='stimulus'>We wish to see you</p>","74","html-keyboard-response","10","47880","0.0-4.0-1.0","","c3p5xzg230","2","1605123682664","gram","1","246","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","11","49883","0.0-4.0-2.0","","c3p5xzg230","2","1605123682664","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","12","50534","0.0-4.0-0.1","","c3p5xzg230","2","1605123682664","","","","",""
"1993.1399999913992","<p class='stimulus'>Their dog very was afraid</p>","74","html-keyboard-response","13","52528","0.0-4.0-1.1","","c3p5xzg230","2","1605123682664","transword","1","229","false",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""red"" /></svg>","null","html-keyboard-response","14","54532","0.0-4.0-2.1","","c3p5xzg230","2","1605123682664","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","15","55188","0.0-4.0-0.2","","c3p5xzg230","2","1605123682664","","","","",""
"2186.5149999939604","<p class='stimulus'>His fine breaks pen works</p>","70","html-keyboard-response","16","57375","0.0-4.0-1.2","","c3p5xzg230","2","1605123682664","control","1","188","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","17","59377","0.0-4.0-2.2","","c3p5xzg230","2","1605123682664","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","18","60035","0.0-4.0-0.3","","c3p5xzg230","2","1605123682664","","","","",""
"2029.0200000017649","<p class='stimulus'>She threw out the flour</p>","74","html-keyboard-response","19","62064","0.0-4.0-1.3","","c3p5xzg230","2","1605123682664","gram","1","245","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","20","64066","0.0-4.0-2.3","","c3p5xzg230","2","1605123682664","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","21","64726","0.0-4.0-0.4","","c3p5xzg230","2","1605123682664","","","","",""
"1417.4000000057276","<p class='stimulus'>I finished a making movie</p>","70","html-keyboard-response","22","66144","0.0-4.0-1.4","","c3p5xzg230","2","1605123682664","transword","1","227","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","23","68158","0.0-4.0-2.4","","c3p5xzg230","2","1605123682664","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","24","68822","0.0-4.0-0.5","","c3p5xzg230","2","1605123682664","","","","",""
"1649.6950000000652","<p class='stimulus'>The scared really children cried</p>","70","html-keyboard-response","25","70472","0.0-4.0-1.5","","c3p5xzg230","2","1605123682664","transword","1","207","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","26","72486","0.0-4.0-2.5","","c3p5xzg230","2","1605123682664","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","27","73143","0.0-4.0-0.6","","c3p5xzg230","2","1605123682664","","","","",""
"2463.9699999970617","<p class='stimulus'>Your old never uncles forget</p>","70","html-keyboard-response","28","75608","0.0-4.0-1.6","","c3p5xzg230","2","1605123682664","transword","1","205","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","29","77609","0.0-4.0-2.6","","c3p5xzg230","2","1605123682664","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","30","78269","0.0-4.0-0.7","","c3p5xzg230","2","1605123682664","","","","",""
"1530.1550000003772","<p class='stimulus'>The baker makes good pastries</p>","74","html-keyboard-response","31","79800","0.0-4.0-1.7","","c3p5xzg230","2","1605123682664","gram","1","289","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","32","81810","0.0-4.0-2.7","","c3p5xzg230","2","1605123682664","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","33","82461","0.0-4.0-0.8","","c3p5xzg230","2","1605123682664","","","","",""
"1834.5949999929871","<p class='stimulus'>We will for come dinner</p>","70","html-keyboard-response","34","84297","0.0-4.0-1.8","","c3p5xzg230","2","1605123682664","transword","1","226","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","35","86298","0.0-4.0-2.8","","c3p5xzg230","2","1605123682664","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","36","86949","0.0-4.0-0.9","","c3p5xzg230","2","1605123682664","","","","",""
"1385.099999999511","<p class='stimulus'>My wooden is cabin there</p>","70","html-keyboard-response","37","88335","0.0-4.0-1.9","","c3p5xzg230","2","1605123682664","transword","1","206","true",""
