"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","participant","uid","list","timestamp","condition","block","item_no","correct","responses"
"5201.870000000781","By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at <a href=""mailto:stanfordpsych251@gmail.com""> stanfordpsych251@gmail.com</a>. You must be at least 18 years old to participate, and you must be a native English speaker and have normal or corrected-to-normal vision. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. We have recently been made aware that your public Amazon.com profile can be accessed via your worker ID if you do not choose to opt out. If you would like to opt out of this feature, you may follow instructions available <a href=""http://www.amazon.com/gp/help/customer/display.html?nodeId=16465241"">here</a>. <br /><br />[Press spacebar to continue.]","32","html-keyboard-response","0","5209","0.0-0.0","","d2y45lsozh","1","1605123929365","","","","",""
"22735.05500000101","Each screen will show a sequence of five English words, which either form a grammatical English sentence (e.g. ""The cow eats the grass"") or an ungrammatical sequence (e.g. ""Planet orange a the mention""). Decide as rapidly and as accurately as possible if the sequence of words forms a grammatically correct sentence or not. Press the 'J' key with your right index finger if the sequence is grammatical, and press the 'F' key with your left index finger if the sequence is ungrammatical. A colored dot will then appear, indicating whether your response was correct (green) or incorrect (red).<br /><br />There will be two practice sequences, followed by four blocks of test sequences. Please sit about 60cm away from your screen, and display the task in full screen. This HIT takes around 10 minutes to complete; please complete it in one sitting. <br /><br />[Press spacebar to begin the practice.]","32","html-keyboard-response","1","27946","0.0-1.0","","d2y45lsozh","1","1605123929365","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","2","28645","0.0-2.0-0.0","","d2y45lsozh","1","1605123929365","","","","",""
"2463.384999999107","<p class='stimulus'>The white was cat big</p>","70","html-keyboard-response","3","31110","0.0-2.0-1.0","","d2y45lsozh","1","1605123929365","transword","0","1","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","4","33119","0.0-2.0-2.0","","d2y45lsozh","1","1605123929365","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","5","33811","0.0-2.0-0.1","","d2y45lsozh","1","1605123929365","","","","",""
"1529.4649999996182","<p class='stimulus'>It moved over there slowly</p>","74","html-keyboard-response","6","35342","0.0-2.0-1.1","","d2y45lsozh","1","1605123929365","gram","0","2","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","7","37354","0.0-2.0-2.1","","d2y45lsozh","1","1605123929365","","","","",""
"1279.835000001185","You have completed the practice. You will now begin the experiment proper, which is composed of four blocks of sequences.<br /><br />[Press spacebar to begin the experiment.]","32","html-keyboard-response","8","38635","0.0-3.0","","d2y45lsozh","1","1605123929365","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","9","39331","0.0-4.0-0.0","","d2y45lsozh","1","1605123929365","","","","",""
"1561.4050000003772","<p class='stimulus'>I finished a making rockular</p>","70","html-keyboard-response","10","40893","0.0-4.0-1.0","","d2y45lsozh","1","1605123929365","control","1","65","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","11","42895","0.0-4.0-2.0","","d2y45lsozh","1","1605123929365","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","12","43598","0.0-4.0-0.1","","d2y45lsozh","1","1605123929365","","","","",""
"2361.830000001646","<p class='stimulus'>The thin falls rod gently</p>","70","html-keyboard-response","13","45961","0.0-4.0-1.1","","d2y45lsozh","1","1605123929365","transword","1","24","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","14","47967","0.0-4.0-2.1","","d2y45lsozh","1","1605123929365","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","15","48668","0.0-4.0-0.2","","d2y45lsozh","1","1605123929365","","","","",""
"1521.0149999984424","<p class='stimulus'>The scared really children fast</p>","70","html-keyboard-response","16","50190","0.0-4.0-1.2","","d2y45lsozh","1","1605123929365","control","1","45","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","17","52192","0.0-4.0-2.2","","d2y45lsozh","1","1605123929365","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","18","52891","0.0-4.0-0.3","","d2y45lsozh","1","1605123929365","","","","",""
"1986.5799999970477","<p class='stimulus'>You should leave really now</p>","70","html-keyboard-response","19","54879","0.0-4.0-1.3","","d2y45lsozh","1","1605123929365","transword","1","3","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","20","56894","0.0-4.0-2.3","","d2y45lsozh","1","1605123929365","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","21","57596","0.0-4.0-0.4","","d2y45lsozh","1","1605123929365","","","","",""
"1452.5450000001001","<p class='stimulus'>My wooden is cabin forget</p>","70","html-keyboard-response","22","59049","0.0-4.0-1.4","","d2y45lsozh","1","1605123929365","control","1","44","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","23","61059","0.0-4.0-2.4","","d2y45lsozh","1","1605123929365","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","24","61756","0.0-4.0-0.5","","d2y45lsozh","1","1605123929365","","","","",""
"2037.7000000007683","<p class='stimulus'>Her clever sister little passed</p>","70","html-keyboard-response","25","63795","0.0-4.0-1.5","","d2y45lsozh","1","1605123929365","transword","1","5","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","26","65807","0.0-4.0-2.5","","d2y45lsozh","1","1605123929365","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","27","66515","0.0-4.0-0.6","","d2y45lsozh","1","1605123929365","","","","",""
