"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","participant","uid","list","timestamp","condition","block","item_no","correct","responses"
"4028.340000000753","By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at <a href=""mailto:stanfordpsych251@gmail.com""> stanfordpsych251@gmail.com</a>. You must be at least 18 years old to participate, and you must be a native English speaker and have normal or corrected-to-normal vision. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. We have recently been made aware that your public Amazon.com profile can be accessed via your worker ID if you do not choose to opt out. If you would like to opt out of this feature, you may follow instructions available <a href=""http://www.amazon.com/gp/help/customer/display.html?nodeId=16465241"">here</a>. <br /><br />[Press spacebar to continue.]","32","html-keyboard-response","0","4035","0.0-0.0","","kcsx358ut0","2","1605123430125","","","","",""
"51588.76000000055","Each screen will show a sequence of five English words, which either form a grammatical English sentence (e.g. ""The cow eats the grass"") or an ungrammatical sequence (e.g. ""Planet orange a the mention""). Decide as rapidly and as accurately as possible if the sequence of words forms a grammatically correct sentence or not. Press the 'J' key with your right index finger if the sequence is grammatical, and press the 'F' key with your left index finger if the sequence is ungrammatical. A colored dot will then appear, indicating whether your response was correct (green) or incorrect (red).<br /><br />There will be two practice sequences, followed by four blocks of test sequences. Please sit about 60cm away from your screen, and display the task in full screen. This HIT takes around 10 minutes to complete; please complete it in one sitting. <br /><br />[Press spacebar to begin the practice.]","32","html-keyboard-response","1","55624","0.0-1.0","","kcsx358ut0","2","1605123430125","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","2","56125","0.0-2.0-0.0","","kcsx358ut0","2","1605123430125","","","","",""
"2173.705000001064","<p class='stimulus'>The white was cat big</p>","70","html-keyboard-response","3","58300","0.0-2.0-1.0","","kcsx358ut0","2","1605123430125","transword","0","163","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","4","60301","0.0-2.0-2.0","","kcsx358ut0","2","1605123430125","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","5","60805","0.0-2.0-0.1","","kcsx358ut0","2","1605123430125","","","","",""
"1181.8999999995867","<p class='stimulus'>It moved over there slowly</p>","74","html-keyboard-response","6","61988","0.0-2.0-1.1","","kcsx358ut0","2","1605123430125","gram","0","164","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","7","63989","0.0-2.0-2.1","","kcsx358ut0","2","1605123430125","","","","",""
"5198.739999999816","You have completed the practice. You will now begin the experiment proper, which is composed of four blocks of sequences.<br /><br />[Press spacebar to begin the experiment.]","32","html-keyboard-response","8","69189","0.0-3.0","","kcsx358ut0","2","1605123430125","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","9","69819","0.0-4.0-0.0","","kcsx358ut0","2","1605123430125","","","","",""
"870.9149999995134","<p class='stimulus'>The belt is too long</p>","74","html-keyboard-response","10","70692","0.0-4.0-1.0","","kcsx358ut0","2","1605123430125","gram","1","309","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","11","72693","0.0-4.0-2.0","","kcsx358ut0","2","1605123430125","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","12","73324","0.0-4.0-0.1","","kcsx358ut0","2","1605123430125","","","","",""
"1463.2399999991321","<p class='stimulus'>His nice friend best everything</p>","70","html-keyboard-response","13","74787","0.0-4.0-1.1","","kcsx358ut0","2","1605123430125","control","1","169","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","14","76789","0.0-4.0-2.1","","kcsx358ut0","2","1605123430125","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","15","77420","0.0-4.0-0.2","","kcsx358ut0","2","1605123430125","","","","",""
"1190.8000000003085","<p class='stimulus'>The brown bugs were eaten</p>","74","html-keyboard-response","16","78611","0.0-4.0-1.2","","kcsx358ut0","2","1605123430125","gram","1","268","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","17","80613","0.0-4.0-2.2","","kcsx358ut0","2","1605123430125","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","18","81249","0.0-4.0-0.3","","kcsx358ut0","2","1605123430125","","","","",""
"1394.4050000009156","<p class='stimulus'>These pretty stones oval gently</p>","70","html-keyboard-response","19","82644","0.0-4.0-1.3","","kcsx358ut0","2","1605123430125","control","1","185","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","20","84645","0.0-4.0-2.3","","kcsx358ut0","2","1605123430125","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","21","85276","0.0-4.0-0.4","","kcsx358ut0","2","1605123430125","","","","",""
"1382.304999999178","<p class='stimulus'>She eats fruit a disappear</p>","70","html-keyboard-response","22","86659","0.0-4.0-1.4","","kcsx358ut0","2","1605123430125","control","1","189","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","23","88660","0.0-4.0-2.4","","kcsx358ut0","2","1605123430125","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","24","89291","0.0-4.0-0.5","","kcsx358ut0","2","1605123430125","","","","",""
"1120.6850000016857","<p class='stimulus'>Our father many loves things</p>","70","html-keyboard-response","25","90413","0.0-4.0-1.5","","kcsx358ut0","2","1605123430125","transword","1","209","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","26","92414","0.0-4.0-2.5","","kcsx358ut0","2","1605123430125","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","27","93045","0.0-4.0-0.6","","kcsx358ut0","2","1605123430125","","","","",""
"1269.5650000005116","<p class='stimulus'>You should leave really moving</p>","70","html-keyboard-response","28","94316","0.0-4.0-1.6","","kcsx358ut0","2","1605123430125","control","1","165","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","29","96317","0.0-4.0-2.6","","kcsx358ut0","2","1605123430125","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","30","96948","0.0-4.0-0.7","","kcsx358ut0","2","1605123430125","","","","",""
"2461.79999999913","<p class='stimulus'>His short felt girlfriend cold</p>","70","html-keyboard-response","31","99411","0.0-4.0-1.7","","kcsx358ut0","2","1605123430125","transword","1","225","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","32","101412","0.0-4.0-2.7","","kcsx358ut0","2","1605123430125","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","33","102043","0.0-4.0-0.8","","kcsx358ut0","2","1605123430125","","","","",""
"1998.1950000001234","<p class='stimulus'>The garden vegetables grew out</p>","74","html-keyboard-response","34","104042","0.0-4.0-1.8","","kcsx358ut0","2","1605123430125","gram","1","305","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","35","106043","0.0-4.0-2.8","","kcsx358ut0","2","1605123430125","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","36","106674","0.0-4.0-0.9","","kcsx358ut0","2","1605123430125","","","","",""
"1240.0949999992008","<p class='stimulus'>Her handsome is neighbor now</p>","70","html-keyboard-response","37","107915","0.0-4.0-1.9","","kcsx358ut0","2","1605123430125","control","1","166","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","38","109918","0.0-4.0-2.9","","kcsx358ut0","2","1605123430125","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","39","110549","0.0-4.0-0.10","","kcsx358ut0","2","1605123430125","","","","",""
"1195.705000000089","<p class='stimulus'>The blue whales are migrating</p>","74","html-keyboard-response","40","111746","0.0-4.0-1.10","","kcsx358ut0","2","1605123430125","gram","1","288","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","41","113747","0.0-4.0-2.10","","kcsx358ut0","2","1605123430125","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","42","114379","0.0-4.0-0.11","","kcsx358ut0","2","1605123430125","","","","",""
"1094.600000000355","<p class='stimulus'>The scared really children cried</p>","70","html-keyboard-response","43","115474","0.0-4.0-1.11","","kcsx358ut0","2","1605123430125","transword","1","207","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","44","117475","0.0-4.0-2.11","","kcsx358ut0","2","1605123430125","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","45","118108","0.0-4.0-0.12","","kcsx358ut0","2","1605123430125","","","","",""
"1311.21499999972","<p class='stimulus'>Their door bell is ringing</p>","74","html-keyboard-response","46","119420","0.0-4.0-1.12","","kcsx358ut0","2","1605123430125","gram","1","269","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","47","121421","0.0-4.0-2.12","","kcsx358ut0","2","1605123430125","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","48","122052","0.0-4.0-0.13","","kcsx358ut0","2","1605123430125","","","","",""
"1510.099999999511","<p class='stimulus'>His fine breaks pen works</p>","70","html-keyboard-response","49","123563","0.0-4.0-1.13","","kcsx358ut0","2","1605123430125","control","1","188","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","50","125564","0.0-4.0-2.13","","kcsx358ut0","2","1605123430125","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","51","126195","0.0-4.0-0.14","","kcsx358ut0","2","1605123430125","","","","",""
