"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","participant","uid","list","timestamp","condition","block","item_no","correct","responses"
"2724.8250000047847","By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at <a href=""mailto:stanfordpsych251@gmail.com""> stanfordpsych251@gmail.com</a>. You must be at least 18 years old to participate, and you must be a native English speaker and have normal or corrected-to-normal vision. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. We have recently been made aware that your public Amazon.com profile can be accessed via your worker ID if you do not choose to opt out. If you would like to opt out of this feature, you may follow instructions available <a href=""http://www.amazon.com/gp/help/customer/display.html?nodeId=16465241"">here</a>. <br /><br />[Press spacebar to continue.]","32","html-keyboard-response","0","2732","0.0-0.0","","s7clm3rspc","2","1605124415417","","","","",""
"508892.19500000036","Each screen will show a sequence of five English words, which either form a grammatical English sentence (e.g. ""The cow eats the grass"") or an ungrammatical sequence (e.g. ""Planet orange a the mention""). Decide as rapidly and as accurately as possible if the sequence of words forms a grammatically correct sentence or not. Press the 'J' key with your right index finger if the sequence is grammatical, and press the 'F' key with your left index finger if the sequence is ungrammatical. A colored dot will then appear, indicating whether your response was correct (green) or incorrect (red).<br /><br />There will be two practice sequences, followed by four blocks of test sequences. Please sit about 60cm away from your screen, and display the task in full screen. This HIT takes around 10 minutes to complete; please complete it in one sitting. <br /><br />[Press spacebar to begin the practice.]","32","html-keyboard-response","1","511626","0.0-1.0","","s7clm3rspc","2","1605124415417","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","2","512220","0.0-2.0-0.0","","s7clm3rspc","2","1605124415417","","","","",""
"2567.1999999976833","<p class='stimulus'>The white was cat big</p>","74","html-keyboard-response","3","514788","0.0-2.0-1.0","","s7clm3rspc","2","1605124415417","transword","0","163","false",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""red"" /></svg>","null","html-keyboard-response","4","516791","0.0-2.0-2.0","","s7clm3rspc","2","1605124415417","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","5","517386","0.0-2.0-0.1","","s7clm3rspc","2","1605124415417","","","","",""
"3851.2600000030943","<p class='stimulus'>It moved over there slowly</p>","70","html-keyboard-response","6","521238","0.0-2.0-1.1","","s7clm3rspc","2","1605124415417","gram","0","164","false",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""red"" /></svg>","null","html-keyboard-response","7","523240","0.0-2.0-2.1","","s7clm3rspc","2","1605124415417","","","","",""
"1902.3049999959767","You have completed the practice. You will now begin the experiment proper, which is composed of four blocks of sequences.<br /><br />[Press spacebar to begin the experiment.]","32","html-keyboard-response","8","525143","0.0-3.0","","s7clm3rspc","2","1605124415417","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","9","525811","0.0-4.0-0.0","","s7clm3rspc","2","1605124415417","","","","",""
"957.8900000051362","<p class='stimulus'>The belt is too long</p>","70","html-keyboard-response","10","526770","0.0-4.0-1.0","","s7clm3rspc","2","1605124415417","gram","1","309","false",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""red"" /></svg>","null","html-keyboard-response","11","528773","0.0-4.0-2.0","","s7clm3rspc","2","1605124415417","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","12","529440","0.0-4.0-0.1","","s7clm3rspc","2","1605124415417","","","","",""
"1361.435000006226","<p class='stimulus'>Their dog very was afraid</p>","70","html-keyboard-response","13","530803","0.0-4.0-1.1","","s7clm3rspc","2","1605124415417","transword","1","229","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","14","532805","0.0-4.0-2.1","","s7clm3rspc","2","1605124415417","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","15","533473","0.0-4.0-0.2","","s7clm3rspc","2","1605124415417","","","","",""
"1522.9600000020582","<p class='stimulus'>The garden vegetables grew out</p>","74","html-keyboard-response","16","534997","0.0-4.0-1.2","","s7clm3rspc","2","1605124415417","gram","1","305","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","17","536999","0.0-4.0-2.2","","s7clm3rspc","2","1605124415417","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","18","537667","0.0-4.0-0.3","","s7clm3rspc","2","1605124415417","","","","",""
"1334.4649999999674","<p class='stimulus'>That brown runs horse fast</p>","70","html-keyboard-response","19","539002","0.0-4.0-1.3","","s7clm3rspc","2","1605124415417","transword","1","208","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","20","541004","0.0-4.0-2.3","","s7clm3rspc","2","1605124415417","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","21","541673","0.0-4.0-0.4","","s7clm3rspc","2","1605124415417","","","","",""
