"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","participant","uid","list","timestamp","condition","block","item_no","correct","responses"
"7230.299999995623","By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at <a href=""mailto:stanfordpsych251@gmail.com""> stanfordpsych251@gmail.com</a>. You must be at least 18 years old to participate, and you must be a native English speaker and have normal or corrected-to-normal vision. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. We have recently been made aware that your public Amazon.com profile can be accessed via your worker ID if you do not choose to opt out. If you would like to opt out of this feature, you may follow instructions available <a href=""http://www.amazon.com/gp/help/customer/display.html?nodeId=16465241"">here</a>. <br /><br />[Press spacebar to continue.]","32","html-keyboard-response","0","7233","0.0-0.0","","wn4nyaalpr","2","1605123478364","","","","",""
"20733.33499999717","Each screen will show a sequence of five English words, which either form a grammatical English sentence (e.g. ""The cow eats the grass"") or an ungrammatical sequence (e.g. ""Planet orange a the mention""). Decide as rapidly and as accurately as possible if the sequence of words forms a grammatically correct sentence or not. Press the 'J' key with your right index finger if the sequence is grammatical, and press the 'F' key with your left index finger if the sequence is ungrammatical. A colored dot will then appear, indicating whether your response was correct (green) or incorrect (red).<br /><br />There will be two practice sequences, followed by four blocks of test sequences. Please sit about 60cm away from your screen, and display the task in full screen. This HIT takes around 10 minutes to complete; please complete it in one sitting. <br /><br />[Press spacebar to begin the practice.]","32","html-keyboard-response","1","27967","0.0-1.0","","wn4nyaalpr","2","1605123478364","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","2","28601","0.0-2.0-0.0","","wn4nyaalpr","2","1605123478364","","","","",""
"6452.644999983022","<p class='stimulus'>The white was cat big</p>","70","html-keyboard-response","3","35055","0.0-2.0-1.0","","wn4nyaalpr","2","1605123478364","transword","0","163","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","4","37057","0.0-2.0-2.0","","wn4nyaalpr","2","1605123478364","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","5","37690","0.0-2.0-0.1","","wn4nyaalpr","2","1605123478364","","","","",""
"1229.4849999889266","<p class='stimulus'>It moved over there slowly</p>","74","html-keyboard-response","6","38920","0.0-2.0-1.1","","wn4nyaalpr","2","1605123478364","gram","0","164","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","7","40922","0.0-2.0-2.1","","wn4nyaalpr","2","1605123478364","","","","",""
"8244.854999997187","You have completed the practice. You will now begin the experiment proper, which is composed of four blocks of sequences.<br /><br />[Press spacebar to begin the experiment.]","32","html-keyboard-response","8","49167","0.0-3.0","","wn4nyaalpr","2","1605123478364","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","9","49765","0.0-4.0-0.0","","wn4nyaalpr","2","1605123478364","","","","",""
"1088.6049999971874","<p class='stimulus'>The sweet bread is good</p>","74","html-keyboard-response","10","50854","0.0-4.0-1.0","","wn4nyaalpr","2","1605123478364","gram","1","247","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","11","52855","0.0-4.0-2.0","","wn4nyaalpr","2","1605123478364","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","12","53454","0.0-4.0-0.1","","wn4nyaalpr","2","1605123478364","","","","",""
"1415.6350000121165","<p class='stimulus'>They wanted to sleep more</p>","74","html-keyboard-response","13","54870","0.0-4.0-1.1","","wn4nyaalpr","2","1605123478364","gram","1","267","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","14","56872","0.0-4.0-2.1","","wn4nyaalpr","2","1605123478364","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","15","57470","0.0-4.0-0.2","","wn4nyaalpr","2","1605123478364","","","","",""
"1327.755000005709","<p class='stimulus'>The cough syrup was helpful</p>","74","html-keyboard-response","16","58798","0.0-4.0-1.2","","wn4nyaalpr","2","1605123478364","gram","1","248","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","17","60799","0.0-4.0-2.2","","wn4nyaalpr","2","1605123478364","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","18","61397","0.0-4.0-0.3","","wn4nyaalpr","2","1605123478364","","","","",""
"1281.4800000051036","<p class='stimulus'>The baker makes good pastries</p>","74","html-keyboard-response","19","62679","0.0-4.0-1.3","","wn4nyaalpr","2","1605123478364","gram","1","289","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","20","64681","0.0-4.0-2.3","","wn4nyaalpr","2","1605123478364","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","21","65279","0.0-4.0-0.4","","wn4nyaalpr","2","1605123478364","","","","",""
"926.610000024084","<p class='stimulus'>The belt is too long</p>","74","html-keyboard-response","22","66206","0.0-4.0-1.4","","wn4nyaalpr","2","1605123478364","gram","1","309","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","23","68208","0.0-4.0-2.4","","wn4nyaalpr","2","1605123478364","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","24","68806","0.0-4.0-0.5","","wn4nyaalpr","2","1605123478364","","","","",""
"2231.465000018943","<p class='stimulus'>That brown runs horse fast</p>","70","html-keyboard-response","25","71038","0.0-4.0-1.5","","wn4nyaalpr","2","1605123478364","transword","1","208","true",""
